date,plot_id,seed_density,burial_treatment,clam_code,shoot_count,length_cm_1,length_cm_2,length_cm_3,length_cm_4,length_cm_5
5-Nov-25,1,10,1,S,0,NA,NA,NA,NA,NA
5-Nov-25,2,10,1,N,0,NA,NA,NA,NA,NA
5-Nov-25,3,10,1,N,0,NA,NA,NA,NA,NA
5-Nov-25,4,10,1,N,0,NA,NA,NA,NA,NA
5-Nov-25,5,10,0,D,0,NA,NA,NA,NA,NA
5-Nov-25,6,10,0,N,0,NA,NA,NA,NA,NA
5-Nov-25,7,10,0,N,0,NA,NA,NA,NA,NA
5-Nov-25,8,10,0,S,0,NA,NA,NA,NA,NA
5-Nov-25,9,20,1,S,0,NA,NA,NA,NA,NA
5-Nov-25,10,20,1,S,0,NA,NA,NA,NA,NA
5-Nov-25,11,20,1,N,0,NA,NA,NA,NA,NA
5-Nov-25,12,20,1,N,0,NA,NA,NA,NA,NA
5-Nov-25,13,20,0,N,0,NA,NA,NA,NA,NA
5-Nov-25,14,20,0,N,0,NA,NA,NA,NA,NA
5-Nov-25,15,20,0,L,0,NA,NA,NA,NA,NA
5-Nov-25,16,20,0,N,0,NA,NA,NA,NA,NA
5-Nov-25,17,30,1,S,0,NA,NA,NA,NA,NA
5-Nov-25,18,30,1,N,0,NA,NA,NA,NA,NA
5-Nov-25,19,30,1,N,0,NA,NA,NA,NA,NA
5-Nov-25,20,30,1,N,0,NA,NA,NA,NA,NA
5-Nov-25,21,30,0,S,0,NA,NA,NA,NA,NA
5-Nov-25,22,30,0,S,0,NA,NA,NA,NA,NA
5-Nov-25,23,30,0,N,0,NA,NA,NA,NA,NA
5-Nov-25,24,30,0,N,0,NA,NA,NA,NA,NA
5-Nov-25,25,40,1,S,0,NA,NA,NA,NA,NA
5-Nov-25,26,40,1,S,0,NA,NA,NA,NA,NA
5-Nov-25,27,40,1,S,0,NA,NA,NA,NA,NA
5-Nov-25,28,40,1,S,0,NA,NA,NA,NA,NA
5-Nov-25,29,40,0,L,0,NA,NA,NA,NA,NA
5-Nov-25,30,40,0,L,0,NA,NA,NA,NA,NA
5-Nov-25,31,40,0,L,0,NA,NA,NA,NA,NA
5-Nov-25,32,40,0,N,0,NA,NA,NA,NA,NA
5-Nov-25,33,50,1,S,0,NA,NA,NA,NA,NA
5-Nov-25,34,50,1,L,0,NA,NA,NA,NA,NA
5-Nov-25,35,50,1,S,0,NA,NA,NA,NA,NA
5-Nov-25,36,50,1,L,0,NA,NA,NA,NA,NA
5-Nov-25,37,50,0,N,0,NA,NA,NA,NA,NA
5-Nov-25,38,50,0,L,0,NA,NA,NA,NA,NA
5-Nov-25,39,50,0,N,0,NA,NA,NA,NA,NA
5-Nov-25,40,50,0,S,0,NA,NA,NA,NA,NA
5-Nov-25,41,60,1,N,0,NA,NA,NA,NA,NA
5-Nov-25,42,60,1,S,0,NA,NA,NA,NA,NA
5-Nov-25,43,60,1,S,0,NA,NA,NA,NA,NA
5-Nov-25,44,60,1,S,0,NA,NA,NA,NA,NA
5-Nov-25,45,60,0,N,0,NA,NA,NA,NA,NA
5-Nov-25,46,60,0,N,0,NA,NA,NA,NA,NA
5-Nov-25,47,60,0,L,0,NA,NA,NA,NA,NA
5-Nov-25,48,60,0,N,0,NA,NA,NA,NA,NA
5-Nov-25,49,70,1,N,0,NA,NA,NA,NA,NA
5-Nov-25,50,70,1,S,0,NA,NA,NA,NA,NA
5-Nov-25,51,70,1,L,0,NA,NA,NA,NA,NA
5-Nov-25,52,70,1,N,0,NA,NA,NA,NA,NA
5-Nov-25,53,70,0,S,0,NA,NA,NA,NA,NA
5-Nov-25,54,70,0,L,0,NA,NA,NA,NA,NA
5-Nov-25,55,70,0,N,0,NA,NA,NA,NA,NA
5-Nov-25,56,70,0,L,0,NA,NA,NA,NA,NA
5-Nov-25,57,80,1,S,0,NA,NA,NA,NA,NA
5-Nov-25,58,80,1,S,0,NA,NA,NA,NA,NA
5-Nov-25,59,80,1,N,0,NA,NA,NA,NA,NA
5-Nov-25,60,80,1,L,0,NA,NA,NA,NA,NA
5-Nov-25,61,80,0,L,0,NA,NA,NA,NA,NA
5-Nov-25,62,80,0,L,0,NA,NA,NA,NA,NA
5-Nov-25,63,80,0,L,0,NA,NA,NA,NA,NA
5-Nov-25,64,80,0,L,0,NA,NA,NA,NA,NA
5-Nov-25,65,90,1,N,0,NA,NA,NA,NA,NA
5-Nov-25,66,90,1,N,0,NA,NA,NA,NA,NA
5-Nov-25,67,90,1,N,0,NA,NA,NA,NA,NA
5-Nov-25,68,90,1,S,0,NA,NA,NA,NA,NA
5-Nov-25,69,90,0,S,0,NA,NA,NA,NA,NA
5-Nov-25,70,90,0,S,0,NA,NA,NA,NA,NA
5-Nov-25,71,90,0,L,0,NA,NA,NA,NA,NA
5-Nov-25,72,90,0,L,0,NA,NA,NA,NA,NA
5-Nov-25,73,100,1,N,0,NA,NA,NA,NA,NA
5-Nov-25,74,100,1,S,0,NA,NA,NA,NA,NA
5-Nov-25,75,100,1,S,0,NA,NA,NA,NA,NA
5-Nov-25,76,100,1,S,0,NA,NA,NA,NA,NA
5-Nov-25,77,100,0,S,0,NA,NA,NA,NA,NA
5-Nov-25,78,100,0,N,0,NA,NA,NA,NA,NA
5-Nov-25,79,100,0,N,0,NA,NA,NA,NA,NA
5-Nov-25,80,100,0,L,0,NA,NA,NA,NA,NA
17-Nov-25,1,10,1,S,0,NA,NA,NA,NA,NA
17-Nov-25,2,10,1,N,0,NA,NA,NA,NA,NA
17-Nov-25,3,10,1,N,0,NA,NA,NA,NA,NA
17-Nov-25,4,10,1,N,0,NA,NA,NA,NA,NA
17-Nov-25,5,10,0,L,0,NA,NA,NA,NA,NA
17-Nov-25,6,10,0,L,0,NA,NA,NA,NA,NA
17-Nov-25,7,10,0,N,0,NA,NA,NA,NA,NA
17-Nov-25,8,10,0,L,0,NA,NA,NA,NA,NA
17-Nov-25,9,20,1,S,0,NA,NA,NA,NA,NA
17-Nov-25,10,20,1,S,0,NA,NA,NA,NA,NA
17-Nov-25,11,20,1,N,0,NA,NA,NA,NA,NA
17-Nov-25,12,20,1,L,0,NA,NA,NA,NA,NA
17-Nov-25,13,20,0,N,0,NA,NA,NA,NA,NA
17-Nov-25,14,20,0,N,0,NA,NA,NA,NA,NA
17-Nov-25,15,20,0,S,0,NA,NA,NA,NA,NA
17-Nov-25,16,20,0,S,0,NA,NA,NA,NA,NA
17-Nov-25,17,30,1,S,0,NA,NA,NA,NA,NA
17-Nov-25,18,30,1,N,0,NA,NA,NA,NA,NA
17-Nov-25,19,30,1,D,0,NA,NA,NA,NA,NA
17-Nov-25,20,30,1,N,0,NA,NA,NA,NA,NA
17-Nov-25,21,30,0,S,0,NA,NA,NA,NA,NA
17-Nov-25,22,30,0,S,0,NA,NA,NA,NA,NA
17-Nov-25,23,30,0,N,0,NA,NA,NA,NA,NA
17-Nov-25,24,30,0,N,0,NA,NA,NA,NA,NA
17-Nov-25,25,40,1,S,0,NA,NA,NA,NA,NA
17-Nov-25,26,40,1,S,0,NA,NA,NA,NA,NA
17-Nov-25,27,40,1,N,0,NA,NA,NA,NA,NA
17-Nov-25,28,40,1,S,0,NA,NA,NA,NA,NA
17-Nov-25,29,40,0,S,0,NA,NA,NA,NA,NA
17-Nov-25,30,40,0,N,0,NA,NA,NA,NA,NA
17-Nov-25,31,40,0,N,0,NA,NA,NA,NA,NA
17-Nov-25,32,40,0,N,0,NA,NA,NA,NA,NA
17-Nov-25,33,50,1,S,0,NA,NA,NA,NA,NA
17-Nov-25,34,50,1,D,0,NA,NA,NA,NA,NA
17-Nov-25,35,50,1,S,0,NA,NA,NA,NA,NA
17-Nov-25,36,50,1,L,0,NA,NA,NA,NA,NA
17-Nov-25,37,50,0,N,0,NA,NA,NA,NA,NA
17-Nov-25,38,50,0,N,0,NA,NA,NA,NA,NA
17-Nov-25,39,50,0,N,0,NA,NA,NA,NA,NA
17-Nov-25,40,50,0,N,0,NA,NA,NA,NA,NA
17-Nov-25,41,60,1,S,0,NA,NA,NA,NA,NA
17-Nov-25,42,60,1,S,0,NA,NA,NA,NA,NA
17-Nov-25,43,60,1,N,0,NA,NA,NA,NA,NA
17-Nov-25,44,60,1,N,0,NA,NA,NA,NA,NA
17-Nov-25,45,60,0,N,0,NA,NA,NA,NA,NA
17-Nov-25,46,60,0,N,0,NA,NA,NA,NA,NA
17-Nov-25,47,60,0,N,0,NA,NA,NA,NA,NA
17-Nov-25,48,60,0,N,0,NA,NA,NA,NA,NA
17-Nov-25,49,70,1,N,0,NA,NA,NA,NA,NA
17-Nov-25,50,70,1,S,0,NA,NA,NA,NA,NA
17-Nov-25,51,70,1,L,0,NA,NA,NA,NA,NA
17-Nov-25,52,70,1,N,0,NA,NA,NA,NA,NA
17-Nov-25,53,70,0,S,0,NA,NA,NA,NA,NA
17-Nov-25,54,70,0,N,0,NA,NA,NA,NA,NA
17-Nov-25,55,70,0,L,0,NA,NA,NA,NA,NA
17-Nov-25,56,70,0,N,0,NA,NA,NA,NA,NA
17-Nov-25,57,80,1,S,0,NA,NA,NA,NA,NA
17-Nov-25,58,80,1,S,0,NA,NA,NA,NA,NA
17-Nov-25,59,80,1,N,0,NA,NA,NA,NA,NA
17-Nov-25,60,80,1,L,0,NA,NA,NA,NA,NA
17-Nov-25,61,80,0,S,0,NA,NA,NA,NA,NA
17-Nov-25,62,80,0,S,0,NA,NA,NA,NA,NA
17-Nov-25,63,80,0,L,0,NA,NA,NA,NA,NA
17-Nov-25,64,80,0,N,0,NA,NA,NA,NA,NA
17-Nov-25,65,90,1,N,0,NA,NA,NA,NA,NA
17-Nov-25,66,90,1,S,0,NA,NA,NA,NA,NA
17-Nov-25,67,90,1,S,0,NA,NA,NA,NA,NA
17-Nov-25,68,90,1,S,0,NA,NA,NA,NA,NA
17-Nov-25,69,90,0,N,0,NA,NA,NA,NA,NA
17-Nov-25,70,90,0,N,0,NA,NA,NA,NA,NA
17-Nov-25,71,90,0,S,0,NA,NA,NA,NA,NA
17-Nov-25,72,90,0,N,0,NA,NA,NA,NA,NA
17-Nov-25,73,100,1,N,0,NA,NA,NA,NA,NA
17-Nov-25,74,100,1,L,0,NA,NA,NA,NA,NA
17-Nov-25,75,100,1,L,0,NA,NA,NA,NA,NA
17-Nov-25,76,100,1,N,0,NA,NA,NA,NA,NA
17-Nov-25,77,100,0,N,0,NA,NA,NA,NA,NA
17-Nov-25,78,100,0,S,0,NA,NA,NA,NA,NA
17-Nov-25,79,100,0,N,0,NA,NA,NA,NA,NA
17-Nov-25,80,100,0,N,0,NA,NA,NA,NA,NA
3-Dec-25,1,10,1,N,0,NA,NA,NA,NA,NA
3-Dec-25,2,10,1,N,0,NA,NA,NA,NA,NA
3-Dec-25,3,10,1,N,1,NA,NA,NA,NA,NA
3-Dec-25,4,10,1,N,1,NA,NA,NA,NA,NA
3-Dec-25,5,10,0,N,0,NA,NA,NA,NA,NA
3-Dec-25,6,10,0,S,1,NA,NA,NA,NA,NA
3-Dec-25,7,10,0,N,0,NA,NA,NA,NA,NA
3-Dec-25,8,10,0,N,1,NA,NA,NA,NA,NA
3-Dec-25,9,20,1,S,5,NA,NA,NA,NA,NA
3-Dec-25,10,20,1,S,2,NA,NA,NA,NA,NA
3-Dec-25,11,20,1,N,2,NA,NA,NA,NA,NA
3-Dec-25,12,20,1,N,1,NA,NA,NA,NA,NA
3-Dec-25,13,20,0,N,0,NA,NA,NA,NA,NA
3-Dec-25,14,20,0,N,0,NA,NA,NA,NA,NA
3-Dec-25,15,20,0,N,0,NA,NA,NA,NA,NA
3-Dec-25,16,20,0,S,1,NA,NA,NA,NA,NA
3-Dec-25,17,30,1,S,0,NA,NA,NA,NA,NA
3-Dec-25,18,30,1,N,0,NA,NA,NA,NA,NA
3-Dec-25,19,30,1,D,0,NA,NA,NA,NA,NA
3-Dec-25,20,30,1,N,0,NA,NA,NA,NA,NA
3-Dec-25,21,30,0,S,0,NA,NA,NA,NA,NA
3-Dec-25,22,30,0,N,2,NA,NA,NA,NA,NA
3-Dec-25,23,30,0,N,0,NA,NA,NA,NA,NA
3-Dec-25,24,30,0,N,0,NA,NA,NA,NA,NA
3-Dec-25,25,40,1,S,0,NA,NA,NA,NA,NA
3-Dec-25,26,40,1,S,0,NA,NA,NA,NA,NA
3-Dec-25,27,40,1,N,0,NA,NA,NA,NA,NA
3-Dec-25,28,40,1,N,0,NA,NA,NA,NA,NA
3-Dec-25,29,40,0,N,0,NA,NA,NA,NA,NA
3-Dec-25,30,40,0,N,0,NA,NA,NA,NA,NA
3-Dec-25,31,40,0,N,0,NA,NA,NA,NA,NA
3-Dec-25,32,40,0,N,1,NA,NA,NA,NA,NA
3-Dec-25,33,50,1,L,1,NA,NA,NA,NA,NA
3-Dec-25,34,50,1,S,0,NA,NA,NA,NA,NA
3-Dec-25,35,50,1,S,3,NA,NA,NA,NA,NA
3-Dec-25,36,50,1,N,0,NA,NA,NA,NA,NA
3-Dec-25,37,50,0,N,0,NA,NA,NA,NA,NA
3-Dec-25,38,50,0,N,0,NA,NA,NA,NA,NA
3-Dec-25,39,50,0,N,0,NA,NA,NA,NA,NA
3-Dec-25,40,50,0,N,1,NA,NA,NA,NA,NA
